ID,Date,Product,Region,SalesRep,Units,UnitPrice,Revenue,Discount,NetRevenue,Category
1,2023-08-02,Widget B,South,Bob Jones,13,373.35,4853.55,0.061,4557.48,Hardware
2,2023-10-17,Starter Kit,North,Alice Smith,457,277.22,126689.54,0.148,107939.49,Bundle
3,2020-07-10,Gadget Y,South,Grace Patel,120,257.61,30913.2,0.007,30696.81,Electronics
4,2021-03-27,Module W,South,Grace Patel,302,146.3,44182.6,0.217,34594.98,Accessories
5,2021-11-27,Device Pro,North,Bob Jones,80,115.49,9239.2,0.191,7474.51,Electronics
6,2022-02-17,Widget B,North,Henry Brown,184,425.26,78247.84,0.151,66432.42,Hardware
7,2023-01-03,Widget B,East,Frank Chen,499,461.91,230493.09,0.02,225883.23,Hardware
8,2023-03-28,Gadget Y,East,Bob Jones,361,44.07,15909.27,0.165,13284.24,Electronics
9,2021-04-21,Widget B,East,Carol Lee,195,146.2,28509.0,0.159,23976.07,Hardware
10,2022-01-28,Device Lite,International,Bob Jones,108,338.38,36545.04,0.175,30149.66,Electronics
11,2023-06-01,Ultra Kit,West,Grace Patel,88,271.72,23911.36,0.061,22452.77,Bundle
12,2021-07-06,Ultra Kit,North,David Kim,353,282.9,99863.7,0.171,82787.01,Bundle
13,2020-03-06,Device Lite,Central,Frank Chen,206,141.18,29083.08,0.053,27541.68,Electronics
14,2021-03-11,Ultra Kit,West,Carol Lee,256,203.85,52185.6,0.229,40235.1,Bundle
15,2021-06-26,Gadget X,International,Grace Patel,127,375.03,47628.81,0.135,41198.92,Electronics
16,2023-04-10,Module Z,Central,Henry Brown,186,117.46,21847.56,0.249,16407.52,Accessories
17,2020-07-05,Widget A,International,Grace Patel,441,63.72,28100.52,0.157,23688.74,Hardware
18,2023-05-06,Widget B,Central,Eva Martinez,198,196.98,39002.04,0.249,29290.53,Hardware
19,2023-02-07,Widget A,Central,Eva Martinez,349,363.14,126735.86,0.17,105190.76,Hardware
20,2023-08-05,Device Lite,North,Eva Martinez,58,153.81,8920.98,0.04,8564.14,Electronics
21,2022-10-22,Gadget X,East,David Kim,260,457.18,118866.8,0.218,92953.84,Electronics
22,2020-11-09,Device Lite,Central,Alice Smith,391,89.15,34857.65,0.238,26561.53,Electronics
23,2023-05-11,Device Lite,East,David Kim,251,19.53,4902.03,0.232,3764.76,Electronics
24,2020-04-28,Gadget Y,International,Henry Brown,450,287.99,129595.5,0.02,127003.59,Electronics
25,2020-05-21,Pack Plus,Central,Carol Lee,393,71.61,28142.73,0.165,23499.18,Accessories
26,2021-06-26,Pack Plus,Central,David Kim,447,307.22,137327.34,0.241,104231.45,Accessories
27,2023-12-31,Device Pro,West,Henry Brown,205,497.61,102010.05,0.162,85484.42,Electronics
28,2020-09-04,Gadget Y,Central,David Kim,116,41.36,4797.76,0.005,4773.77,Electronics
29,2023-04-20,Gadget Y,South,Bob Jones,4,44.78,179.12,0.158,150.82,Electronics
30,2020-03-05,Device Lite,West,David Kim,37,261.93,9691.41,0.07,9013.01,Electronics
31,2023-01-09,Gadget X,West,David Kim,371,468.39,173772.69,0.143,148923.2,Electronics
32,2022-08-26,Module Z,East,Grace Patel,98,56.21,5508.58,0.165,4599.66,Accessories
33,2022-04-21,Module W,International,Bob Jones,443,367.24,162687.32,0.168,135355.85,Accessories
34,2020-05-04,Module Z,South,David Kim,373,176.25,65741.25,0.215,51606.88,Accessories
35,2021-01-24,Pack Plus,West,David Kim,230,78.68,18096.4,0.046,17263.97,Accessories
36,2020-06-03,Module W,North,Alice Smith,414,432.05,178868.7,0.138,154184.82,Accessories
37,2020-07-10,Gadget Y,West,Alice Smith,86,209.13,17985.18,0.12,15826.96,Electronics
